site,AADT,year,FROMNODENO,TONODENO
14-003,1247,2014,10057,30133
09-014,8024,2014,10073,10074
20-026,6387,2014,10230,50544
10-003,3127,2014,10256,14384
08-005,8741,2014,10305,10490
08-009,2637,2014,10461,10465
06-004,6180,2014,10540,10555
06-009,13358,2014,10663,10666
06-001,7367,2014,10827,10842
21-007,15561,2014,11035,11036
21-008,23768,2014,11037,11180
21-009,17656,2014,11118,11120
04-001,13825,2014,11504,11505
17-003,3025,2014,11652,11653
17-005,10849,2014,11720,11746
17-001,20561,2014,11959,11958
10-008,19539,2014,12091,12130
15-011,2983,2014,12170,50620
15-001,34048,2014,12201,12202
15-019,47397,2014,12354,12709
15-017,44019,2014,13404,13477
15-014,8836,2014,13663,33695
15-013,7548,2014,13799,13800
10-007,21799,2014,13838,14341
10-006,5401,2014,13904,13905
10-005,30622,2014,14271,14270
10-004,909,2014,14528,14562
20-020,23160,2014,14586,14597
20-025,52120,2014,14911,14915
18-022,5757,2014,14987,14988
15-007,1039,2014,15012,50653
15-002,14961,2014,15017,15037
15-020,2772,2014,15065,15066
18-019,3625,2014,15131,15157
18-018,21511,2014,15236,15342
18-023,3945,2014,15390,15391
20-017,2642,2014,15429,15430
18-006,5146,2014,15485,15488
03-013,4234,2014,15593,15596
26-016,137062,2014,15664,23568
26-027,122393,2014,15727,22388
24-001,11292,2014,15761,50125
36-005,5970,2014,15764,19801
27-005,7285,2014,15801,50235
22-020,28091,2014,15824,50327
21-006,4998,2014,15836,16099
20-023,1702,2014,15917,15920
20-004,1743,2014,15919,15926
20-005,6015,2014,15934,15940
02-007,5151,2014,15980,15981
02-003,2079,2014,15992,33731
27-001,17336,2014,16112,48880
02-005,1037,2014,16151,16152
20-027,30669,2014,16349,16350
22-016,37627,2014,16360,16359
20-028,25584,2014,16484,16486
20-024,15228,2014,16599,16600
20-008,59435,2014,17094,17095
20-011,49590,2014,17135,17136
24-004,24675,2014,17525,18979
22-010,4931,2014,17555,50264
22-022,36983,2014,17663,17678
22-005,60710,2014,17731,17738
27-006,26112,2014,17951,17952
24-021,72422,2014,18069,18070
27-002,12498,2014,19081,19082
24-022,21702,2014,19260,19261
34-004,4906,2014,19564,19674
34-005,7197,2014,19566,19673
36-006,12943,2014,19642,19643
34-007,21378,2014,20066,20067
34-009,32198,2014,20072,20075
24-016,8851,2014,20293,20294
03-011,87206,2014,20405,20415
34-008,154594,2014,21250,21251
03-016,81184,2014,21259,21596
05-006,10372,2014,22701,22704
20-010,3282,2014,22965,22966
24-013,4930,2014,23015,23022
24-015,4258,2014,23070,23072
26-004,128393,2014,23116,23117
26-012,875,2014,23126,27210
03-014,2408,2014,23153,26717
03-020,13552,2014,23375,23377
26-022,151252,2014,23517,23518
03-018,35212,2014,24234,24235
26-014,161772,2014,24518,25679
26-015,144885,2014,24586,25105
26-026,137282,2014,24700,24701
26-005,92063,2014,24708,24710
26-019,132040,2014,25383,25384
26-018,146484,2014,25612,25613
03-017,33657,2014,26013,26021
26-028,102527,2014,26149,26203
26-024,144732,2014,26357,26358
26-001,28961,2014,26918,26919
26-003,30648,2014,26951,26980
03-006,8652,2014,28583,28596
03-007,1908,2014,28637,28643
03-009,5440,2014,28640,28641
14-004,21574,2014,28656,28677
04-004,7488,2014,28772,28775
12-003,883,2014,28870,31031
09-005,2524,2014,28877,28878
09-024,1359,2014,28922,28923
18-017,923,2014,28950,28952
18-020,3950,2014,28977,28982
09-003,20708,2014,29096,29097
09-025,18319,2014,29132,29144
19-010,708,2014,29200,33689
19-004,745,2014,29222,29223
19-008,828,2014,29245,29250
07-001,2495,2014,29324,29985
07-002,7720,2014,29351,29352
09-023,19725,2014,29362,29791
09-015,9408,2014,29377,29397
09-021,8773,2014,29419,29786
09-020,28186,2014,29423,29801
09-009,43191,2014,29469,29684
09-007,46107,2014,29704,29705
16-006,7384,2014,29871,29872
16-002,6330,2014,29892,29895
33-005,2430,2014,30083,30084
33-001,21201,2014,30294,30419
28-001,2743,2014,30503,30517
28-002,11350,2014,30562,30561
11-007,634,2014,30658,30669
11-004,182,2014,30674,36756
25-007,1322,2014,30737,36764
11-009,10995,2014,30772,30775
25-008,14746,2014,30803,30802
23-012,1286,2014,30841,30929
13-001,459,2014,30849,30885
13-003,2183,2014,30855,30874
13-007,1400,2014,30864,30896
13-005,371,2014,30864,33684
23-013,1263,2014,30942,30955
12-006,343,2014,31015,31017
12-009,856,2014,31093,31096
30-002,2721,2014,31104,31105
30-026,10264,2014,31122,31121
30-025,18997,2014,31252,31251
30-027,14419,2014,31267,31266
30-019,7406,2014,31276,33703
30-007,763,2014,31313,31326
30-004,14962,2014,31388,31387
30-008,23384,2014,31460,31462
01-001,802,2014,31574,31575
01-012,1298,2014,31585,31668
01-013,8755,2014,31649,31650
01-011,9224,2014,31782,31783
31-008,9761,2014,31988,32030
31-007,8800,2014,31995,31994
31-003,11745,2014,32045,32105
30-012,1061,2014,32142,32143
30-021,14132,2014,32208,32226
31-005,1791,2014,32281,32283
23-006,4687,2014,32442,32480
23-014,16700,2014,32500,32508
23-016,9028,2014,32571,32579
01-014,8790,2014,32621,32628
36-004,34791,2014,36732,50105
29-001,6020,2014,36780,36781
24-005,19795,2014,48800,50294
22-013,11343,2014,50012,50426
24-020,2627,2014,50115,50494
22-012,3431,2014,50522,999927
