COUNTY,DOT_REGION
Ada_ID,7
Adams_ID,7
Asotin_WA,6
Baker,5
Benton,2
Benton_WA,6
Boise_ID,7
Canyon_ID,7
Clackamas,1
Clark_WA,6
Clatsop,2
Clearwater_ID,7
Columbia,2
Columbia_WA,6
Coos,3
Cowlitz_WA,6
Crook,4
Curry,3
DelNorte_CA,9
Deschutes,4
Douglas,3
Elmore_ID,7
Franklin_WA,6
Garfield_WA,6
Gem_ID,7
Gilliam,4
Grant,5
Harney,5
Hood River,1
Humboldt_CA,9
Humboldt_NV,8
Idaho_ID,7
Jackson,3
Jefferson,4
Josephine,3
Klamath,4
Klickitat_WA,6
Lake,4
Lane,2
Lassen_CA,9
Latah_ID,7
Lewis_ID,7
Lewis_WA,6
Lincoln,2
Linn,2
Malheur,5
Marion,2
Modoc_CA,9
Morrow,5
Multnomah,1
NezPerce_ID,7
Owyhee_ID,7
Pacific_WA,6
Payette_ID,7
Polk,2
Shasta_CA,9
Sherman,4
Siskiyou_CA,9
Skamania_WA,6
Tillamook,2
Trinity_CA,9
Umatilla,5
Union,5
Valley_ID,7
Wahkiakum_WA,6
WallaWalla_WA,6
Wallowa,5
Wasco,4
Washington,1
Washington_ID,7
Washoe_NV,8
Wheeler,4
Whitman_WA,6
Yakima_WA,6
Yamhill,2
